"","Year","Team","Payroll","Wins","Franchise.ID"
"1",1997,"Anaheim Angels",31135472,84,"ANA"
"2",1998,"Anaheim Angels",41281000,85,"ANA"
"3",1999,"Anaheim Angels",55388166,70,"ANA"
"4",2000,"Anaheim Angels",51464167,82,"ANA"
"5",2001,"Anaheim Angels",47535167,75,"ANA"
"6",2002,"Anaheim Angels",61721667,99,"ANA"
"7",2003,"Anaheim Angels",79031667,77,"ANA"
"8",2004,"Anaheim Angels",100534667,92,"ANA"
"9",1998,"Arizona Diamondbacks",32347000,65,"ARI"
"10",1999,"Arizona Diamondbacks",68703999,100,"ARI"
"11",2000,"Arizona Diamondbacks",81027833,85,"ARI"
"12",2001,"Arizona Diamondbacks",85082999,92,"ARI"
"13",2002,"Arizona Diamondbacks",102819999,98,"ARI"
"14",2003,"Arizona Diamondbacks",80657000,84,"ARI"
"15",2004,"Arizona Diamondbacks",69780750,51,"ARI"
"16",2005,"Arizona Diamondbacks",62329166,77,"ARI"
"17",2006,"Arizona Diamondbacks",59684226,76,"ARI"
"18",2007,"Arizona Diamondbacks",52067546,90,"ARI"
"19",2008,"Arizona Diamondbacks",66202712,82,"ARI"
"20",2009,"Arizona Diamondbacks",73115666,70,"ARI"
"21",2010,"Arizona Diamondbacks",60718166,65,"ARI"
"22",2011,"Arizona Diamondbacks",53639833,94,"ARI"
"23",2012,"Arizona Diamondbacks",73804833,81,"ARI"
"24",2013,"Arizona Diamondbacks",90132000,81,"ARI"
"25",2014,"Arizona Diamondbacks",97861500,64,"ARI"
"26",1985,"Atlanta Braves",14807000,66,"ATL"
"27",1986,"Atlanta Braves",17102786,72,"ATL"
"28",1987,"Atlanta Braves",16544560,69,"ATL"
"29",1988,"Atlanta Braves",12728174,54,"ATL"
"30",1989,"Atlanta Braves",11112334,63,"ATL"
"31",1990,"Atlanta Braves",14555501,65,"ATL"
"32",1991,"Atlanta Braves",18403500,94,"ATL"
"33",1992,"Atlanta Braves",34625333,98,"ATL"
"34",1993,"Atlanta Braves",41641417,104,"ATL"
"35",1994,"Atlanta Braves",49383513,68,"ATL"
"36",1995,"Atlanta Braves",47235445,90,"ATL"
"37",1996,"Atlanta Braves",49698500,96,"ATL"
"38",1997,"Atlanta Braves",52278500,101,"ATL"
"39",1998,"Atlanta Braves",61186000,106,"ATL"
